101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
Bill Clinton | bill clinton | m.0157m | government.us_president.vice_president | m.0d05fv | Al Gore | Who was Bill Clinton’s running mate in the 1992 US Presidential election? | Al Gore
Bill Clinton | bill clinton | m.0157m | government.us_president.vice_president | m.0d05fv | Al Gore | Who was the Vice President of former US President Bill Clinton? | Al Gore
Bill Gates | bill gates | m.017nt | organization.organization_founder.organizations_founded | m.04sv4 | Microsoft | Bill Gates and Paul Allen founded which company in Albuquerque, New Mexico in April 1975? | Microsoft
Bill Gates | bill gates | m.017nt | organization.organization_founder.organizations_founded | m.04sv4 | Microsoft | Which company is owned by Bill Gates | Microsoft
Billie Joe Armstrong | billie joe armstrong | m.0kxbc | music.lyricist.lyrics_written | m.0_hxw24 | Green Day | The lead singer of which 1990s band is called Billie Joe Armstrong? | Green Day
Bill Kenwright | bill kenwright | m.036lvd | sports.sports_team_owner.teams_owned | m.0mmd6 | Everton FC | Actor and theatre producer Bill Kenwright became chairman of which English football club in 2004? | Everton FC
Bill Nelson | bill nelson | m.023l9y | music.artist.label | m.015_1q | Columbia | In January 1986 US politician Bill Nelson was aboard which space shuttle when he became the second sitting member of the United States Congress to fly in space? | Columbia
Bill Oddie | bill oddie | m.01gwf | tv.tv_program_creator.programs_created | m.0cjrns | The Goodies | Bill Oddie, Tim Brook Taylor and Graeme Garden created and starred in which UK television sketch show? | The Goodies
Bill Oddie | bill oddie | m.01gwf | tv.tv_program_creator.programs_created | m.0cjrns | The Goodies | British comedians Graeme Garden, Tim Brooke-Taylor and Bill Oddie were collectively known as who? | The Goodies
Bills | bill | m.02x30kn | people.deceased_person.place_of_death | m.0j5g9 | Wales | In which British country are there laws known as ‘Assembly Bills’? | Wales
Bills Bills Bills | bills, bills, bills | m.03jg4hc | music.album.artist | m.016ppr | Destinys Child | Which girl group released the song “Bills Bills Bills”? | Destinys Child
Bills Bills Bills | bills, bills, bills | m.0y9px_ | music.recording.artist | m.016ppr | Destinys Child | Which girl group released the song “Bills Bills Bills”? | Destinys Child
Billund Airport | billund airport | m.06528b | location.location.containedby | m.0k6nt | Denmark | Billund Airport is in which European country? | Denmark
Billund | billund | m.05b6m79 | location.location.containedby | m.0k6nt | Denmark | Billund Airport is in which European country? | Denmark
Billycock | bowler hat | m.02677n | fashion.garment.specialization_of | m.02dl1y | Hat | Billycock, Wideawake, Gibus and Mitre all types of what | Hat
Billy Elliot | billy elliot | m.016mhd | film.film.directed_by | m.02mdfr | Stephen Daldry | Who directed the acclaimed 2000 film, Billy Elliot? | Stephen Daldry
Billy Elliot | billy elliot the musical | m.08cdf8 | theater.play.composer | m.01vrz41 | Elton John | Who composed the music and lyrics for the stage musical of Billy Elliot? | Elton John
Billy Flynn | william flynn | m.02nwcg4 | theater.theater_character.plays_appears_in | m.01f6k_ | Chicago | Darius Danesh (Campbell) became the youngest actor to play the role of Billy Flynn in which Broadway musical since it opened in 1975? | Chicago
Billy Hayes | billy hayes | m.04tq3q | book.author.works_written | m.0dlrp3 | Midnight Express | The brutal treatment of Billy Hayes was the inspiration what film | Midnight Express
Billy Hayes | billy hayes | m.04tq3q | film.film_story_contributor.film_story_credits | m.0p_sc | Midnight Express | The brutal treatment of Billy Hayes was the inspiration what film | Midnight Express
Billy the Kid | billy the kid | m.024bngw | music.recording.artist | m.0djg9 | Aaron Copland | Who wrote the 1938 ballet Billy the Kid? | Aaron Copland
Billy the Kid | billy the kid | m.0968k5 | base.ballet.ballet.composer | m.0djg9 | Aaron Copland | Who wrote the 1938 ballet Billy the Kid? | Aaron Copland
Billy the Kid | billy the kid | m.0968k5 | music.composition.composer | m.0djg9 | Aaron Copland | Who wrote the 1938 ballet Billy the Kid? | Aaron Copland
Bilrubin | bilirubin | m.0hwhr | user.mt.default_domain.metabolite.tissue_location | m.02kbs__ | Liver | Bilrubin is produced by what part of the body | Liver
Bing Crosby | bing crosby | m.01vsy9_ | music.artist.track | m.018c09b | Road To Morocco | What is the title of the third ‘Road’ film starring Bob Hope and Bing Crosby? | Road To Morocco
biochemistry | biochemistry | m.059bgsw | book.written_work.subjects | m.06fbf | Ribonucleic acid | In biochemistry, what does RNA stand for? | Ribonucleic acid
Biology | biology | m.04wj6y7 | book.book.genre | m.04rjg | Mathematics | For which of the following was the Frenchman Fourier best known? Chemistry, Biology or Mathematics? | Mathematics
bird | bird | m.015p6 | biology.organism_classification.lower_classifications | m.09d5_ | Owl | Little, Eurasian Eagle and Burrowing are all types of which species of bird? | Owl
Bird | bird | m.01h_120 | music.album.artist | m.0f6lx | Charlie Parker | Which jazz musician had the nickname `Bird`? | Charlie Parker
bird | bird | m.01qktxj | music.release.track_list | m.0m193bx | Flamingo | Which bird turns it head upside down to eat | Flamingo
bird | bird | m.01qktxj | music.release.track | m.0100y3g | Flamingo | Which bird turns it head upside down to eat | Flamingo
Bird | bird | m.077q8x | film.film.subjects | m.0f6lx | Charlie Parker | Which jazz musician had the nickname `Bird`? | Charlie Parker
bird | bird | m.07t3n1h | base.mtgbase.magic_type.cards_of_this_type | m.0b7hgpf | Kingfisher | Halcyon is a poetic name used for what bird | Kingfisher
bird | bird | m.07t3n1h | base.mtgbase.magic_type.cards_of_this_type | m.0b7hgpf | Kingfisher | What type of bird is a kookaburra? | Kingfisher
bird | bird | m.07t3n1h | base.mtgbase.magic_type.cards_of_this_type | m.0b7hgpf | Kingfisher | Which bird has the poetic name ‘Halycon’? | Kingfisher
Bird | bird | m.0f6lx | music.artist.album | m.01h_20z | Charlie Parker | Which jazz musician had the nickname `Bird`? | Charlie Parker
bird | bird | m.0sh23gs | music.release.track_list | m.0smz595 | Pheasant | Golden and Argus are varieties of what bird | Pheasant
bird | bird | m.0sh23gs | music.release.track_list | m.0sqz83j | Stork | The marabou is what type of bird? | Stork
bird | bird | m.0sh23gs | music.release.track_list | m.0sqz83j | Stork | Which bird is traditionally depicted delivering newborn babies? | Stork
bird | bird | m.0sh23gs | music.release.track_list | m.0st7brc | Parrot | What type of bird is a conure? | Parrot
Bird in Space | bird in space | m.08jn3p | visual_art.artwork.artist | m.01xws | Constantin Brancusi | Bird in Space was a famous work by whom? | Constantin Brancusi
birds | bird | m.0sh23gs | music.release.track_list | m.0sjs578 | Cuckoo | The roadrunner belongs to what family of birds | Cuckoo
Birds of Prey | birds of prey | m.0j1gcql | book.written_work.author | m.05xl_bf | Wilbur Smith | Who wrote the thriller novel ‘Birds of Prey’? | Wilbur Smith
Birmingham | birmingham | m.079j9v0 | tv.tv_series_episode.previous_episode | m.079j9tq | Manchester | Which city is 88 miles from Birmingham, 71 miles from York and 43 miles from Leeds? | Manchester
Birmingham | birmingham | m.0gj0ppp | tv.tv_series_episode.next_episode | m.0gh_v_f | Bristol | Which city is 74 miles from Oxford, 85 miles from Birmingham and 75 miles from Southampton? | Bristol
birth control | birth control | m.01cnz | base.activism.activism_issue.activists | m.01cr7j | Marie Stopes | Name woman set up free birth control clinic in Holloway in 1920 | Marie Stopes
birth control | birth control | m.01cnz | base.activism.activism_issue.activists | m.01cr7j | Marie Stopes | Which British author and campaigner for women’s rights, born in 1880, was a pioneer of birth control? | Marie Stopes
Birthday Cake | birthday cake | m.0vs9nmk | music.album.featured_artists | m.07ss8_ | Chris Brown | Who teamed up with Rihanna on the 2012 track “Birthday Cake” Chris Brown, Jay Sean, Nelly, Usher | Chris Brown
Birthday Letters | birthday letters | m.04vf10h | book.book_edition.author_editor | m.07mnx | Ted Hughes | Which English poet’s works include ‘Birthday Letters? | Ted Hughes
Birthday Letters | birthday letters | m.04vf10h | book.book_edition.author_editor | m.07mnx | Ted Hughes | Which poet wrote the collection ‘Birthday Letters’? | Ted Hughes
Birthday Letters | birthday letters | m.069np1 | book.written_work.author | m.07mnx | Ted Hughes | Which English poet’s works include ‘Birthday Letters? | Ted Hughes
Birthday Letters | birthday letters | m.069np1 | book.written_work.author | m.07mnx | Ted Hughes | Which poet wrote the collection ‘Birthday Letters’? | Ted Hughes
Birth Of Venus | the birth of venus | m.0mjth | visual_art.artwork.artist | m.0jr3g | Sandro Botticelli | Who painted `The Birth Of Venus` and `Mars And Venus`? | Sandro Botticelli
biscuit | biscuit | m.021mn | food.type_of_dish.dishes | m.01f91_ | Pretzel | What is the name of the German origin biscuit baked in a looped knot and often glazed with salt. | Pretzel
Biskupin | biskupin | m.02f5pl | location.location.containedby | m.05qhw | Poland | The Biskupin Open Air Museum is a life-size model of a prehistoric settlement in which European country? | Poland
Bizet | georges bizet | m.02br7gv | common.image.appears_in_topic_gallery | m.0htbn | Bizet | Who composed the opera `Carmen`? Mozart, Purcell or Bizet? | Bizet
Bizet | georges bizet | m.0htbn | book.book_subject.works | m.06r82db | Bizet | Who composed the opera `Carmen`? Mozart, Purcell or Bizet? | Bizet
Blackadder | blackadder | m.01d25 | tv.tv_program.seasons | m.02p1_9v | Blackadder the Third | ‘Dish and Dishonesty’ and ‘Sense and Senility’ are titles of episodes of which Blackadder television series? | Blackadder the Third
Blackbeard | blackbeard | m.01ghf | fictional_universe.person_in_fiction.representations_in_fiction | m.0q24ptv | Edward Teach | What was Blackbeard's origanal name? | Edward Teach
Blackbeard | blackbeard | m.03sx8ps | common.image.appears_in_topic_gallery | m.01ghf | Edward Teach | What was Blackbeard's origanal name? | Edward Teach
Blackberry Way | blackberry way | m.0ms100 | music.recording.artist | m.01ws9h | The Move | Which band had a number 1 with the song “Blackberry Way”? | The Move
Black Cat | black cat | m.01hb_5w | music.album.artist | m.0gbwp | Janet Jackson | Black Cat gave who their second No.1 of the 1990s? | Janet Jackson
Black Cat | black cat | m.05n9gj | music.composition.composer | m.0gbwp | Janet Jackson | Black Cat gave who their second No.1 of the 1990s? | Janet Jackson
Black Cat | black cat | m.05n9gj | music.composition.lyricist | m.0gbwp | Janet Jackson | Black Cat gave who their second No.1 of the 1990s? | Janet Jackson
Black Cat | black cat | m.0crrv3j | film.film.story_by | m.02lt8 | Edgar Allen Poe | Which writer had a pet cat called Caterina, that was the inspiration for his story ‘The Black Cat’? | Edgar Allen Poe
Black Cat | black cat | m.0z2vj5 | music.recording.artist | m.0gbwp | Janet Jackson | Black Cat gave who their second No.1 of the 1990s? | Janet Jackson
Black Cat | black cat | m.0z2vj5 | music.recording.producer | m.0gbwp | Janet Jackson | Black Cat gave who their second No.1 of the 1990s? | Janet Jackson
Black Coffee | black coffee | m.014pggl | music.recording.artist | m.02yk_z | All Saints | Black Coffee was 2000 song released by which girl group? | All Saints
Black Coffee | black coffee | m.01hmcsl | music.album.artist | m.02yk_z | All Saints | Black Coffee was 2000 song released by which girl group? | All Saints
black comedy | black comedy | m.0vgkd | film.film_genre.films_in_this_genre | m.05svz_ | How I Won the War | What was the title of the 1967 black comedy war film starring Michael Crawford and John Lennon? | How I Won the War
Black Forest | black forest | m.015gr | location.location.containedby | m.0345h | Germany | In which European country is the `Black Forest`? | Germany
Black Forest | black forest | m.0dx8668 | music.release.region | m.0345h | Germany | In which European country is the `Black Forest`? | Germany
Black Forest | black forest | m.0kvh4z2 | film.film.country | m.0345h | Germany | In which European country is the `Black Forest`? | Germany
Black Hawk Down | black hawk down | m.0278xn | book.written_work.subjects | m.0qmf3 | Battle of Mogadishu | The 1999 book ‘Black Hawk Down’ by Mark Bowden chronicles the events of which 1993 battle? | Battle of Mogadishu
Black Hawk Down | black hawk down | m.0qm8b | film.film.directed_by | m.06chf | Ridley Scott | Who directed the 2001 film `Black Hawk Down`? | Ridley Scott
Black Hawk Down | black hawk down | m.0qm8b | film.film.produced_by | m.06chf | Ridley Scott | Who directed the 2001 film `Black Hawk Down`? | Ridley Scott
Black Hawk Down | black hawk down | m.0qm8b | film.film.subjects | m.0qmf3 | Battle of Mogadishu | The 1999 book ‘Black Hawk Down’ by Mark Bowden chronicles the events of which 1993 battle? | Battle of Mogadishu
Black Lace | black lace | m.01nfgts | music.artist.album | m.0fzk0hw | Mary Ann | What was the title of Black Lace`s song for Britain in the 1979 Eurovision Song Contest? `Mary Ann`, `Beg, Steal or Borrow` or `Ring-A-Ding Girl`? | Mary Ann
Black Lace | black lace | m.01nfgts | music.artist.track | m.0fsljv8 | Mary Ann | What was the title of Black Lace`s song for Britain in the 1979 Eurovision Song Contest? `Mary Ann`, `Beg, Steal or Borrow` or `Ring-A-Ding Girl`? | Mary Ann
Black Paintings | black paintings | m.06dk09 | visual_art.art_series.artist | m.02y23 | Francisco Goya | The ‘Black Paintings’ is the name given to a group of paintings by which Spanish artist? | Francisco Goya
black panther | black panther | m.0by6z | fictional_universe.character_species.characters_of_this_species | m.02ct6n | Bagheera | In Rudyard Kipling’s novel ‘The Jungle Book’, what is the name of the black panther? | Bagheera
Blackpool | blackpool f.c. | m.01kj5h | sports.sports_team.location | m.01hvzr | Blackpool | Which of the following teams were not involved in the first football league in 1888? Wolverhampton Wanderers, Blackpool or Everton? | Blackpool
Black Sabbath | black sabbath | m.01czx | music.artist.album | m.01hxkcs | Paranoid | What song gave Black Sabbath their highest charting hit? | Paranoid
Black Sabbath | black sabbath | m.01czx | music.artist.track | m.0dnh4fx | Paranoid | What song gave Black Sabbath their highest charting hit? | Paranoid
Black Sabbath | black sabbath | m.01czx | music.lyricist.lyrics_written | m.04rpmd | Paranoid | What song gave Black Sabbath their highest charting hit? | Paranoid
Black Sabbath | black sabbath | m.01tmkbf | music.composer.compositions | m.04rpmd | Paranoid | What song gave Black Sabbath their highest charting hit? | Paranoid
Black Stuff | boys from the blackstuff | m.03h5kp | tv.tv_program.program_creator | m.03fsc7 | Alan Bleasdale | Which television dramatist wrote the BBC television drama ‘The Black Stuff’ in 1978? | Alan Bleasdale
Black Swan | black swan | m.09k56b7 | film.film.directed_by | m.017c87 | Darren Aronofsky | Who directed the film Black Swan (in ballet)? | Darren Aronofsky
Blah Blah Blah | blah blah blah | m.0fv1zw5 | music.recording.artist | m.05mt7ny | Kesha | Blah Blah Blah was a 2010 hit for which female singer? | Kesha
Blah Blah Blah | blah blah blah | m.0fx5s0c | music.album.artist | m.05mt7ny | Kesha | Blah Blah Blah was a 2010 hit for which female singer? | Kesha
Blake Edwards | blake edwards | m.096hm | film.director.film | m.07615d | Curse of the Pink Panther | Roger Moore`s scenes in which Blake Edwards film were filmed during a break from shooting Octopussy? | Curse of the Pink Panther
Blake Edwards | blake edwards | m.096hm | film.producer.film | m.07615d | Curse of the Pink Panther | Roger Moore`s scenes in which Blake Edwards film were filmed during a break from shooting Octopussy? | Curse of the Pink Panther
Blake Edwards | blake edwards | m.096hm | film.writer.film | m.07615d | Curse of the Pink Panther | Roger Moore`s scenes in which Blake Edwards film were filmed during a break from shooting Octopussy? | Curse of the Pink Panther
Blanchimont | circuit de spa-francorchamps | m.03sj5s | location.location.containedby | m.0154j | Belgium | Pouhon, Kemmel Straight and  Blanchimont are all sections of the Formula One Grand Prix circuit in which country? | Belgium
Blazing Saddles | blazing saddles | m.018f8 | film.film.directed_by | m.052hl | Mel Brooks | Who directed the 1974 film `Blazing Saddles`? | Mel Brooks
Blazing Saddles | blazing saddles | m.018f8 | film.film.written_by | m.052hl | Mel Brooks | Who directed the 1974 film `Blazing Saddles`? | Mel Brooks
Blazing Saddles | blazing saddles | m.0rprmkw | music.composition.lyricist | m.052hl | Mel Brooks | Who directed the 1974 film `Blazing Saddles`? | Mel Brooks
Bleed American | bleed american | m.016_2ry | music.recording.artist | m.012vnv | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleed American | bleed american | m.016_2ry | music.recording.producer | m.012vnv | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleed American | bleed american | m.01l1mbv | music.album.artist | m.012vnv | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleed American | bleed american | m.01l1mbv | music.album.releases | m.0q5t22k | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleed American | bleed american | m.01xjc7q | common.image.appears_in_topic_gallery | m.01l1mbv | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleed American | bleed american | m.03_kkcr | music.release.album | m.01l1mbv | Jimmy Eat World | Which band had a hit album with “Bleed American”? | Jimmy Eat World
Bleeding Love | bleeding love | m.03jls_3 | music.album.artist | m.025_1vt | Leona Lewis | Which female singer hit the top spot with “Bleeding Love in 2008”? | Leona Lewis
Bleeding Love | bleeding love | m.0dp5848 | music.recording.artist | m.025_1vt | Leona Lewis | Which female singer hit the top spot with “Bleeding Love in 2008”? | Leona Lewis
Bleheim Orange | blenheim orange | m.026qys8 | biology.organism_classification.higher_classification | m.014j1m | Apple | What kind of fruit is a Bleheim Orange? | Apple
Blind Faith | blind faith | m.02qwg | music.artist.album | m.0yspkyh | Eric Clapton | Which of the following was a member of the group Blind Faith? | Eric Clapton
Blind Faith | blind faith | m.02qwg | music.artist.track | m.0tdbk2 | Eric Clapton | Which of the following was a member of the group Blind Faith? | Eric Clapton
Blink 182 | blink-182 | m.03xl77 | music.group_member.instruments_played | m.026t6 | Drums | Travis Barker plays which instrument in the band Blink 182? | Drums
Blink 182 | blink-182 | m.03xl77 | people.person.profession | m.09lbv | Drums | Travis Barker plays which instrument in the band Blink 182? | Drums
Blisworth Canal | blisworth | m.09323d | location.location.containedby | m.0hl24 | Northamptonshire | The Blisworth Canal Tunnel is in which English county? | Northamptonshire
blockbuster | blockbuster | m.024qqx | media_common.netflix_genre.titles | m.0dr_4 | Titanic | As at September 2005, what Hollywood blockbuster has taken more money at the box office in the US than any other film? | Titanic
Blonde On Blonde | blonde on blonde | m.01h7fbp | music.album.artist | m.01vrncs | Bob Dylan | Who has had albums called `Blonde On Blonde`, `Blood On The Tracks` and `Highway 61 Revisited`? | Bob Dylan
Blonde On Blonde | blonde on blonde | m.0dqgsbk | music.release.album | m.028m69 | Bob Dylan | Who has had albums called `Blonde On Blonde`, `Blood On The Tracks` and `Highway 61 Revisited`? | Bob Dylan
Blondes Have More Fun | blondes have more fun | m.01jsw8c | music.album.artist | m.0qf11 | Rod Stewart | Which British singer released a 1972 album entitled ‘Blondes Have More Fun’? | Rod Stewart
Blondie | blondie | m.017lb_ | music.artist.album | m.01hkm9x | Maria | Which Blondie song includes the line `Go insane and out of your mind`? | Maria
Blondie | blondie | m.017lb_ | music.artist.album | m.0qdk1_b | The Tide is High | The Paragons originally recorded which 1980 hit single by Blondie? | The Tide is High
Blondie | blondie | m.017lb_ | music.artist.track | m.0175cdx | The Tide is High | The Paragons originally recorded which 1980 hit single by Blondie? | The Tide is High
Blondie | blondie | m.017lb_ | music.artist.track | m.0xpp94 | Maria | Which Blondie song includes the line `Go insane and out of your mind`? | Maria
Blondie | blondie | m.02qdss | film.film.story_by | m.02jzm1 | Chic Young | Who created the comic strip ‘Blondie’, published in newspapers since 1930? | Chic Young
Blondie | blondie | m.04793fm | tv.tv_program.program_creator | m.02jzm1 | Chic Young | Who created the comic strip ‘Blondie’, published in newspapers since 1930? | Chic Young
Bloodnok | major bloodnok | m.0b7yp4 | fictional_universe.fictional_character.appears_in_these_fictional_universes | m.010qck0f | The Goon Show | Which UK comedy series featured the characters Eccles, Bloodnok and Bluebottle? | The Goon Show
Blood On The Tracks | blood on the tracks | m.015c8 | music.album.artist | m.01vrncs | Bob Dylan | Who has had albums called `Blonde On Blonde`, `Blood On The Tracks` and `Highway 61 Revisited`? | Bob Dylan
Blood On The Tracks | blood on the tracks | m.032h5s6 | music.release.producers | m.01vrncs | Bob Dylan | Who has had albums called `Blonde On Blonde`, `Blood On The Tracks` and `Highway 61 Revisited`? | Bob Dylan
Bloody Mary | bloody mary | m.04hkqs | food.dish.ingredients | m.08127 | Vodka | Which spirit is used in a Bloody Mary? | Vodka
Bloody Mary | bloody mary | m.04hkqs | user.tsegaran.random.cocktail.ingredient | m.08127 | Vodka | Which spirit is used in a Bloody Mary? | Vodka
Blue | blue | m.049p8bk | music.release.track_list | m.0m7lyql | Sunday | In a 1970 song by The Doors what day of the week is Blue? | Sunday
Blue | blue | m.049p8bk | music.release.track | m.0f6hn98 | Sunday | In a 1970 song by The Doors what day of the week is Blue? | Sunday
Blue | blue | m.0dzf_pp | music.recording.releases | m.04ff9h1 | Green | Which of the following colours appears on the flag of Italy? Green, Blue or Yellow? | Green
blue | blue | m.0fwsbjv | music.recording.releases | m.0g38btm | Orange | Red white blue yellow green what's missing from Rubik's cube | Orange
Blue | blue | m.0m8cx43 | music.release_track.release | m.04ff9h1 | Green | Which of the following colours appears on the flag of Italy? Green, Blue or Yellow? | Green
blue | blue | m.0myqn4n | music.release_track.release | m.0g38btm | Orange | Red white blue yellow green what's missing from Rubik's cube | Orange
Bluebottle | bluebottle | m.048dtp | fictional_universe.fictional_character.appears_in_these_fictional_universes | m.010qck0f | The Goon Show | Which UK comedy series featured the characters Eccles, Bloodnok and Bluebottle? | The Goon Show
Blue Boy | the blue boy | m.07nmx5 | visual_art.artwork.artist | m.07ncv | Thomas Gainsborough | Whose paintings include `Mrs Siddons` and `Blue Boy`? | Thomas Gainsborough
Bluejean Bop | bluejean bop! | m.01k0ltm | music.album.artist | m.03f5b0k | Gene Vincent | Which act’s debut album was entitle Bluejean Bop? | Gene Vincent
Blue Mosque | blue mosque | m.01yfv_ | location.location.containedby | m.09949m | Istanbul | In which city would you find The Blue Mosque | Istanbul
Blue Mosque | blue mosque | m.01yfv_ | travel.tourist_attraction.near_travel_destination | m.09949m | Istanbul | In which city would you find The Blue Mosque | Istanbul
Blue Mosque | sultan ahmed mosque | m.01yfv_ | location.location.containedby | m.09949m | Istanbul | In which city would you find The Blue Mosque | Istanbul
Blue Mosque | sultan ahmed mosque | m.01yfv_ | travel.tourist_attraction.near_travel_destination | m.09949m | Istanbul | In which city would you find The Blue Mosque | Istanbul
Blue Nile | blue nile | m.014wlv | geography.river.basin_countries | m.06tw8 | Sudan | In which country does the Blue Nile meet the White Nile? | Sudan
Blue Nile | blue nile | m.014wlv | geography.river.cities | m.04d_m | Khartoum | In which city does the Blue Nile meet the White Nile? | Khartoum
Blue Nile | blue nile | m.014wlv | location.location.partially_containedby | m.06tw8 | Sudan | In which country does the Blue Nile meet the White Nile? | Sudan
Blue Nile | blue nile | m.039vc1 | base.aareas.schema.administrative_area.administrative_parent | m.06tw8 | Sudan | In which country does the Blue Nile meet the White Nile? | Sudan
Blue Nile | blue nile | m.039vc1 | location.administrative_division.country | m.06tw8 | Sudan | In which country does the Blue Nile meet the White Nile? | Sudan
Blue Nile | blue nile | m.039vc1 | location.location.containedby | m.06tw8 | Sudan | In which country does the Blue Nile meet the White Nile? | Sudan
Blue Period | picasso's blue period | m.072333 | visual_art.art_period_movement.associated_artists | m.060_7 | Pablo Picasso | Which artist had a Blue Period and Rose Period in the C20th? | Pablo Picasso
Blue Period | picasso's blue period | m.072333 | visual_art.art_period_movement.associated_artists | m.060_7 | Pablo Picasso | Which artist is known for his ‘Blue Period’? | Pablo Picasso
Blue Period | picasso's blue period | m.072333 | visual_art.art_period_movement.associated_artists | m.060_7 | Pablo Picasso | Which painter had a ‘Blue Period’? | Pablo Picasso
Blue Planet | the blue planet | m.02j71 | base.skosbase.vocabulary_equivalent_topic.equivalent_concept | m.0bpg4fr | Earth | Which planet in our solar system is known as ‘The Blue Planet’? | Earth
Blueprint 3 | the blueprint 3 | m.04gm1q0 | music.album.artist | m.01vw20h | Jay Z | The Blueprint 3 was a hit album by which artist? | Jay Z
Blueprint 3 | the blueprint 3 | m.0bflfdw | music.release.producers | m.01vw20h | Jay Z | The Blueprint 3 was a hit album by which artist? | Jay Z
Blues Brothers | the blues brothers | m.0c8tkt | film.film.directed_by | m.030vmc | John Landis | Who directed the 1980 film `The Blues Brothers`? | John Landis
Blues Brothers | the blues brothers | m.0c8tkt | film.film.written_by | m.030vmc | John Landis | Who directed the 1980 film `The Blues Brothers`? | John Landis
Blue Suede Shoes | blue suede shoes | m.03mypx | music.composition.composer | m.0p7sj | Carl Perkins | Who sang the original version of Blue Suede Shoes | Carl Perkins
Blue Suede Shoes | blue suede shoes | m.03mypx | music.composition.lyricist | m.0p7sj | Carl Perkins | Who sang the original version of Blue Suede Shoes | Carl Perkins
Blue Suede Shoes | blue suede shoes | m.0dt10wy | music.recording.featured_artists | m.0p7sj | Carl Perkins | Who sang the original version of Blue Suede Shoes | Carl Perkins
Blue Suede Shoes | blue suede shoes | m.0f6d7tp | music.album.artist | m.0p7sj | Carl Perkins | Who sang the original version of Blue Suede Shoes | Carl Perkins
Blue Suede Shoes | blue suede shoes | m.0nmmb1m | music.recording.artist | m.0p7sj | Carl Perkins | Who sang the original version of Blue Suede Shoes | Carl Perkins
board game | board game | m.015ll | book.book_subject.works | m.02dp9_ | Jumanji | What is the name of the 1995 film about a supernatural board game, starring Robin Williams and Kirsten Dunst? | Jumanji
board game | board game | m.015ll | book.book_subject.works | m.02dp9_ | Jumanji | What is the title of the 1995 film in which Robin Williams is trapped in a board game for 26 years? | Jumanji
board game | board game | m.015ll | book.book_subject.works | m.04wf7j5 | Chess | Zugzwang, Skewer, Royal Fork and Indian Defence are all terms associated with which board game? | Chess
board game | board game | m.015ll | common.topic.image | m.0290wtz | Monopoly | Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power? | Monopoly
board game | board game | m.015ll | common.topic.image | m.0290wtz | Monopoly | In November 1935, Parker Brothers released which board game in the US? | Monopoly
board game | board game | m.015ll | common.topic.image | m.0290wtz | Monopoly | In which board game might you land on Free Parking or The Water Works? | Monopoly
board game | board game | m.015ll | common.topic.image | m.0290wtz | Monopoly | Top hat, iron, dog and ship are all pieces in which board game? | Monopoly
board game | board game | m.015ll | cvg.cvg_genre.games | m.016f5r | Cluedo | In which board game would you find the characters of Miss Scarlett and Professor Plum? | Cluedo
board game | board game | m.015ll | cvg.cvg_genre.games | m.02c402 | Chess | Zugzwang, Skewer, Royal Fork and Indian Defence are all terms associated with which board game? | Chess
board game | board game | m.015ll | cvg.cvg_genre.games | m.06zcvn7 | Monopoly | Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power? | Monopoly
board game | board game | m.015ll | cvg.cvg_genre.games | m.06zcvn7 | Monopoly | In November 1935, Parker Brothers released which board game in the US? | Monopoly
board game | board game | m.015ll | cvg.cvg_genre.games | m.06zcvn7 | Monopoly | In which board game might you land on Free Parking or The Water Works? | Monopoly
board game | board game | m.015ll | cvg.cvg_genre.games | m.06zcvn7 | Monopoly | Top hat, iron, dog and ship are all pieces in which board game? | Monopoly
board game | board game | m.015ll | cvg.cvg_genre.games | m.0clqptl | Backgammon | Bearoff, Nullo Play and Quadrant are all terms used in which board game? | Backgammon
board game | board game | m.015ll | cvg.cvg_genre.games | m.0clqptl | Backgammon | In which board game do players use a ‘doubling cube’, which has the numbers 2,4,8,16,32,64 on it? | Backgammon
board game | board game | m.015ll | cvg.cvg_genre.games | m.0clqptl | Backgammon |  ‘Puff’ is the German name for which board game? | Backgammon
board game | board game | m.015ll | games.game_genre.boardgames | m.01d30 | Backgammon | Bearoff, Nullo Play and Quadrant are all terms used in which board game? | Backgammon
board game | board game | m.015ll | games.game_genre.boardgames | m.01d30 | Backgammon | In which board game do players use a ‘doubling cube’, which has the numbers 2,4,8,16,32,64 on it? | Backgammon
board game | board game | m.015ll | games.game_genre.boardgames | m.01d30 | Backgammon |  ‘Puff’ is the German name for which board game? | Backgammon
board game | board game | m.015ll | games.game_genre.boardgames | m.01lb5 | Chess | Zugzwang, Skewer, Royal Fork and Indian Defence are all terms associated with which board game? | Chess
board game | board game | m.015ll | games.game_genre.boardgames | m.04zk9 | Monopoly | Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power? | Monopoly
